Album Name,Artist Name(s),Track Name,Popularity,Release Date,Genres,Record Label,num_of_tracks
$10 Cowboy,Charley Crockett,$10 Cowboy,50,2024-04-26,"new americana,southern americana",Son of Davy,
4 Hits & A Miss - The Essential Richard Swift,Richard Swift,Dirty Jim,23,2024-11-01,,Secretly Canadian,28.0
A Minute...,Myles Smith,Nice To Meet You,70,2024-11-08,singer-songwriter pop,RCA Records Label,
A Modern Day Distraction,Jake Bugg,Never Said Goodbye,48,2024-10-04,"modern rock,nottingham indie",RCA Records Label,
A Sacred Way of Living,Easy Sleeper,Timekeeper,25,2024-08-30,,Easy Sleeper,
Again! Again!,Mr. Sam & the People People,You Are Kind,3,2024-06-11,new orleans indie,Tape Dad,18.0
All Again,Queen of Jeans,Karaoke,26,2024-06-28,"bubblegrunge,diy emo,philly indie",Memory Music,22.0
All Hell,Los Campesinos!,A Psychic Wound,39,2024-07-19,"welsh indie,welsh rock",Heart Swells,
All I Ever Want Is Everything,Blu DeTiger,Imposter Syndrome,16,2024-03-29,,Capitol Records,12.0
All I Ever Want Is Everything,"Blu DeTiger,Magdalena Bay",Disappearing (feat. Magdalena Bay),37,2024-03-29,la pop,Capitol Records,
All Life Long,Kali Malone,No Sun To Burn (for brass),30,2024-02-09,"experimental ambient,experimental synth,spectra,swedish experimental",Ideologic Organ,
Always Happy to Explode,Sunset Rubdown,Losing Light,26,2024-09-20,quebec indie,Pronounced Kroog,9.0
Amy Come on Home,Ladybird,Honky Tonk Mama,4,2024-05-17,,Dangit Records,10.0
Arms,San Fermin,Wasting on Me,16,2024-02-16,"brooklyn indie,chamber pop",Better Company Records LLC,9.0
"As It Ever Was, So It Will Be Again","The Decemberists,James Mercer",Burial Ground,40,2024-06-14,"baroque pop,canadian indie,chamber pop,indie rock,modern folk rock,stomp and holler",YABB Records,1.0
Ask That God,Empire Of The Sun,Cherry Blossom,57,2024-07-26,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",EMI Recorded Music Australia Pty Ltd,
BRAT,Charli xcx,Apple,84,2024-06-07,"art pop,candy pop,metropopolis,pop,uk pop",Atlantic Records,
Bad Bad Hats,Bad Bad Hats,My Heart Your Heart,25,2024-04-12,minneapolis indie,Don Giovanni Records,
Bando Stone and The New World,Childish Gambino,Lithonia,66,2024-07-19,"atl hip hop,hip hop,rap",Wolf+Rothstein/RCA Records,9.0
Better Now,Wild Rivers,Simp Song,46,2024-10-18,folk-pop,Nettwerk Music Group,8.0
Big Sigh,Marika Hackman,No Caffeine,38,2024-01-12,ambient folk,Chrysalis Records,40.0
Blasted,Mean Jeans,I Don't Give a Shit Anymore,20,2024-02-09,"garage pop,garage punk,indie punk,orgcore,portland punk,power-pop punk",Fat Wreck Chords,
Blue Raspberry,Katy Kirby,Drop Dead,20,2024-01-26,"bubblegrunge,indie pop,modern indie folk",Anti/Epitaph,11.0
