Album Name,Artist Name(s),Track Name,Popularity,Release Date,Genres,Record Label,track_count
$10 Cowboy,Charley Crockett,$10 Cowboy,50,2024-04-26,"new americana,southern americana",Son of Davy,12
4 Hits & A Miss - The Essential Richard Swift,Richard Swift,Dirty Jim,23,2024-11-01,,Secretly Canadian,14
A Minute...,Myles Smith,Nice To Meet You,79,2024-11-08,singer-songwriter pop,RCA Records Label,7
A Modern Day Distraction,Jake Bugg,Never Said Goodbye,47,2024-10-04,"modern rock,nottingham indie",RCA Records Label,12
A Sacred Way of Living,Easy Sleeper,Timekeeper,25,2024-08-30,,Easy Sleeper,9
Again! Again!,Mr. Sam & the People People,You Are Kind,3,2024-06-11,new orleans indie,Tape Dad,9
All Again,Queen of Jeans,Karaoke,26,2024-06-28,"bubblegrunge,diy emo,philly indie",Memory Music,11
All Hell,Los Campesinos!,A Psychic Wound,40,2024-07-19,"welsh indie,welsh rock",Heart Swells,15
All I Ever Want Is Everything,Blu DeTiger,Imposter Syndrome,16,2024-03-29,,Capitol Records,14
All Life Long,Kali Malone,No Sun To Burn (for brass),30,2024-02-09,"experimental ambient,experimental synth,spectra,swedish experimental",Ideologic Organ,12
Always Happy to Explode,Sunset Rubdown,Losing Light,26,2024-09-20,quebec indie,Pronounced Kroog,9
Amy Come on Home,Ladybird,Honky Tonk Mama,4,2024-05-17,,Dangit Records,10
Arms,San Fermin,Wasting on Me,16,2024-02-16,"brooklyn indie,chamber pop",Better Company Records LLC,9
"As It Ever Was, So It Will Be Again",The Decemberists,Burial Ground,40,2024-06-14,"baroque pop,canadian indie,chamber pop,indie rock,modern folk rock,stomp and holler",YABB Records,13
Ask That God,Empire Of The Sun,Cherry Blossom,57,2024-07-26,"australian dance,australian electropop,dance rock,indietronica,neo-synthpop",EMI Recorded Music Australia Pty Ltd,12
BRAT,Charli xcx,Apple,83,2024-06-07,"art pop,candy pop,metropopolis,pop,uk pop",Atlantic Records,15
Bad Bad Hats,Bad Bad Hats,My Heart Your Heart,26,2024-04-12,minneapolis indie,Don Giovanni Records,10
Bando Stone and The New World,Childish Gambino,Lithonia,66,2024-07-19,"atl hip hop,hip hop,rap",Wolf+Rothstein/RCA Records,17
Better Now,Wild Rivers,Simp Song,46,2024-10-18,folk-pop,Nettwerk Music Group,8
Big Sigh,Marika Hackman,No Caffeine,38,2024-01-12,ambient folk,Chrysalis Records,10
Blasted,Mean Jeans,I Don't Give a Shit Anymore,19,2024-02-09,"garage pop,garage punk,indie punk,orgcore,portland punk,power-pop punk",Fat Wreck Chords,15
Blue Raspberry,Katy Kirby,Drop Dead,20,2024-01-26,"bubblegrunge,indie pop,modern indie folk",Anti/Epitaph,11
"Box for Buddy, Box for Star",This Is Lorelei,I'm All Fucked Up,38,2024-06-14,nyc indie rock,Double Double Whammy,10
Bright Future,Adrianne Lenker,Free Treasure,53,2024-03-22,"countrygaze,indie pop,small room",4AD,12
COWBOY CARTER,Beyoncé,TEXAS HOLD 'EM,72,2024-03-29,"pop,r&b",Parkwood Entertainment/Columbia,27
CRASH,Kehlani,What I Want,50,2024-06-21,"pop,r&b,rap",TSNMI / Atlantic,13
Chameleon,Jana Mila,I Wasn’t Gonna,21,2024-08-30,,"New West Records, LLC",10
Chaos Angel,Maya Hawke,Missing Out,50,2024-05-31,indie pop,Mom+Pop,10
Charm,Clairo,Juna,80,2024-07-12,"bedroom pop,indie pop,pov: indie",Clairo,11
Chastity,Chastity,Summer All Over Again,17,2024-09-13,"canadian shoegaze,ontario indie",Deathwish Inc.,13
