id,artist,title,album,play_count,release_date,duration,album_art,favorite,timestamp
1,The Secret Sisters,I’ve Got Your Back,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731627694
2,The Secret Sisters,I Can Never Be Without You Anymore,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731627493
3,The Secret Sisters,Same Water,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731627233
4,The Secret Sisters,Bear With Me,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731626990
5,The Secret Sisters,I Needed You,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731626776
6,The Secret Sisters,Never Walk Away,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731626637
7,The Secret Sisters,Planted,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731626430
8,The Secret Sisters,All the Ways (feat. Ray LaMontagne),"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731626210
9,The Secret Sisters,If the World Was a House,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731625945
10,The Secret Sisters,Paperweight,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731625413
11,The Secret Sisters,Space,"Mind, Man, Medicine",0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/cf028acee884b18507c43fe527158194.jpg,0,1731625177
12,JaneLane,Love Letters,Love Letters,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/08da15539e5e410ce1b9c7e484284052.jpg,0,1731624697
13,Cheekface,The Fringe,It's Sorted,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/7648c2f7d0d168fa7267250066bc2f79.jpg,0,1731624541
14,Omni,Exacto,Souvenir,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/b9a64251341d50980916b973966c2d5d.jpg,0,1731622716
15,A$AP Ferg,Dead Homies (feat. BLKPRL & Elmiene),DAROLD,0,Unknown,0,https://lastfm.freetls.fastly.net/i/u/300x300/e8c58bb73ac65ba62c97fe88b75a5535.jpg,0,1731609060
