id,artist,title,album,release_date,album_art,timestamp
1,Kendrick Lamar,"gnx (feat. hitta j3, youngthreat, peysoh)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732664212
2,Kendrick Lamar,heart pt. 6,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732663923
3,Kendrick Lamar,heart pt. 6,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732660866
4,Kendrick Lamar,peekaboo (feat. AzChike),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732660710
5,Kendrick Lamar,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732660579
6,Kendrick Lamar,tv off (feat. Lefty Gunplay),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732660358
7,Kendrick Lamar,reincarnated,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732660083
8,Kendrick Lamar,hey now (feat. Dody6),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732659865
9,Kendrick Lamar,man at the garden,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732659632
10,Kendrick Lamar,luther (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732659454
11,Kendrick Lamar,squabble up,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732659296
12,Kendrick Lamar,wacced out murals,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732658981
13,The Last Dinner Party,Mirror,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732654881
14,The Last Dinner Party,Nothing Matters,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732654698
15,The Last Dinner Party,Portrait of a Dead Girl,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732648738
16,The Last Dinner Party,My Lady of Mercy,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732648563
17,The Last Dinner Party,Sinner,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732648386
18,The Last Dinner Party,Gjuha,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732648296
19,The Last Dinner Party,Beautiful Boy,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732648069
20,The Last Dinner Party,On Your Side,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732642233
21,The Last Dinner Party,The Feminine Urge,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732642026
22,The Last Dinner Party,Caesar on a TV Screen,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732641796
23,The Last Dinner Party,Burn Alive,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732641595
24,The Last Dinner Party,Prelude to Ecstasy,Prelude to Ecstasy,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/dcf1265ac1c0752aa8511468cdfede8a.jpg,1732640260
25,Crack Cloud,Lack of Lack,Red Mile,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/f50e5e8331ccaed2050e29c44f99d5b8.jpg,1732639310
26,Crack Cloud,Blue Kite,Red Mile,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/f50e5e8331ccaed2050e29c44f99d5b8.jpg,1732638939
27,Crack Cloud,The Medium,Red Mile,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/f50e5e8331ccaed2050e29c44f99d5b8.jpg,1732638662
28,Crack Cloud,Crack Of Life,Red Mile,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/f50e5e8331ccaed2050e29c44f99d5b8.jpg,1732638311
29,Kendrick Lamar,LOVE. FEAT. ZACARI.,DAMN.,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/8a59ed3a9c71cb5113325e2026889e4a.png,1732590728
30,Ab-Soul,9 Mile,Soul Burger,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/8000e589d6e1e04895e6bdeee9e52736.jpg,1732590491
31,Jack Harlow,Hello Miss Johnson,Hello Miss Johnson,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/91ffde8e334728323472651611b491d2.jpg,1732590325
32,"Tyler, the Creator",Thought I Was Dead (feat. ScHoolboy Q & Santigold),Chromakopia,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/8c0b389bb4cbf522bc5a2b58e15b6620.jpg,1732590117
33,Denzel Curry,GOT ME GEEKED,King of the Mischievous South,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/d51e85ffad9b662408d8114f3faa6336.jpg,1732589965
34,Mike,Pieces Of A Dream,Pieces Of A Dream,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/5e7e8d8a5b49a4c572cc0b87aaece6c2.jpg,1732589806
35,Kendrick Lamar,untitled 06 | 06.30.2014.,untitled unmastered.,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/f990d085bca3182dfe436c098eed36c8.jpg,1732589598
36,Kendrick Lamar,gloria (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732589309
37,Kendrick Lamar,"gnx (feat. hitta j3, youngthreat, peysoh)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732589116
38,Kendrick Lamar,heart pt. 6,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732588823
39,Kendrick Lamar,peekaboo (feat. AzChike),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732588667
40,Kendrick Lamar,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732588536
41,Kendrick Lamar,tv off (feat. Lefty Gunplay),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732588315
42,Kendrick Lamar,reincarnated,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732585126
43,Kendrick Lamar,hey now (feat. Dody6),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732584909
44,Kendrick Lamar,man at the garden,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732584676
45,Kendrick Lamar,luther (with SZA),GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732584498
46,Kendrick Lamar,squabble up,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732584340
47,Kendrick Lamar,wacced out murals,GNX,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/a79564a9768d05272682b252deb02079.png,1732584024
48,Beyoncé,AMERIICAN REQUIEM,COWBOY CARTER,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/d02aeea86757347aa3b1fc3f67f52f44.jpg,1732583705
49,Waxahatchee,Tigers Blood,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732583468
50,Waxahatchee,The Wolves,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732583229
51,Waxahatchee,365,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732583041
52,Waxahatchee,Crowbar,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732582799
53,Waxahatchee,Crimes Of The Heart,Tigers Blood,Unknown,https://lastfm.freetls.fastly.net/i/u/300x300/ddf49a293a4ca4c87c4c9963af58de7b.jpg,1732582615
