artist,album,album_art,scrobb_num
(DOLCH),Nacht,https://lastfm.freetls.fastly.net/i/u/300x300/95367d571edf776de5c1d1d999b28e54.jpg,1
070 Shake,You Can’t Kill Me,https://lastfm.freetls.fastly.net/i/u/300x300/b3143dfae6d8e6a41d3cddddd1f2f52b.jpg,2
070 Shake,petrichor,https://lastfm.freetls.fastly.net/i/u/300x300/70531a5e45aaa86ce4b1ab066952b7b7.png,4
112,Bad Boy's 10th Anniversary- The Hits,https://lastfm.freetls.fastly.net/i/u/300x300/ca88fc0e09d02f08d6b2082b1455e728.jpg,1
1990nowhere,1990Nowhere,https://lastfm.freetls.fastly.net/i/u/300x300/8cc20bdb6ac5f22a73995db417a9ea43.jpg,2
1gnis,You can't always pretend that you're okay (Sped up Version),https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
2 Chainz,Welcome 2 Collegrove,https://lastfm.freetls.fastly.net/i/u/300x300/946b26916d76f7c1851afd24fd4677a1.jpg,1
21 Savage,american dream,https://lastfm.freetls.fastly.net/i/u/300x300/a7dcf5182b8027d164ce1da8c2bc4a3f.jpg,1
2Pac,Greatest Hits,https://lastfm.freetls.fastly.net/i/u/300x300/4ca8269cfa0a4e0bb9a08aedfb645ed6.png,2
2Pac,Strictly 4 My N.I.G.G.A.Z...,https://lastfm.freetls.fastly.net/i/u/300x300/e24fbea15d3644eb96d5d8b1e8c55052.png,1
2Pac,The Hate U Give (Original Motion Picture Soundtrack),https://lastfm.freetls.fastly.net/i/u/300x300/88c22ee2373b30fb740199a45b066b32.jpg,1
2nd Grade,Easy Listening,https://lastfm.freetls.fastly.net/i/u/300x300/15677f467674ef5552b9c7cb33937d3a.jpg,1
2nd Grade,Scheduled Explosions,https://lastfm.freetls.fastly.net/i/u/300x300/6e722375241646257953e15171dfe670.jpg,19
311,Greatest Hits '93 - '03,https://lastfm.freetls.fastly.net/i/u/300x300/61d195979abe680d30c5ad00d2a2f087.jpg,2
50 Cent,Get Rich or Die Tryin',https://lastfm.freetls.fastly.net/i/u/300x300/0df88df2ca9e67709d7a73a3553db7a1.jpg,16
87dance,Soldout smile,https://lastfm.freetls.fastly.net/i/u/300x300/3d1d165edd24ef2accd6279e25f20df9.jpg,1
@,"Are You There God? It’s Me, @",https://lastfm.freetls.fastly.net/i/u/300x300/c07a0f449b463e344757c02562fadde9.jpg,1
@,Mind Palace Music,https://lastfm.freetls.fastly.net/i/u/300x300/8e8f1c8ba329076813d794e0045e9185.jpg,6
A Country Western,Life on the Lawn,https://lastfm.freetls.fastly.net/i/u/300x300/9f254122219566784ac7f61116437fa6.jpg,1
A Giant Dog,Raw,https://lastfm.freetls.fastly.net/i/u/300x300/669bbe653a2e74b2914e17a88e04f45e.png,1
A R I Z O N A,Modern Indie Pop Bangers,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
A Swarm of the Sun,Zenith,https://lastfm.freetls.fastly.net/i/u/300x300/2dff9001013dfb14aeea14da97eb05f8.jpg,1
A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),https://lastfm.freetls.fastly.net/i/u/300x300/a616a537aa7c464c00f783e7958c91d6.jpg,3
A Tribe Called Quest,Peoples' Instinctive Travels & the Paths of Rhythm,https://lastfm.freetls.fastly.net/i/u/300x300/110f01bebe614e82ba7ae8f63b6dd185.jpg,2
A Tribe Called Quest,The Low End Theory,https://lastfm.freetls.fastly.net/i/u/300x300/9ab8ee8d7a7ff8bfb0c00afb89a38c16.jpg,2
A$AP Ferg,DAROLD,https://lastfm.freetls.fastly.net/i/u/300x300/e8c58bb73ac65ba62c97fe88b75a5535.jpg,21
A$AP Rocky,At. Long. Last. A$AP,https://lastfm.freetls.fastly.net/i/u/300x300/0d8e4960715caf01a1455a07754b745e.jpg,1
A$AP Rocky,Sundress,https://lastfm.freetls.fastly.net/i/u/300x300/0a4182a066608f5c74d5720d847466a6.jpg,1
A. Savage,Several Songs About Fire,https://lastfm.freetls.fastly.net/i/u/300x300/749360fcf4a87a4e66651c41f4199a64.jpg,15
A.A. Williams,A.A. Williams,https://lastfm.freetls.fastly.net/i/u/300x300/f86e29512652101bdeff8a03f5e74d47.jpg,1
A.A. Williams,As The Moon Rests,https://lastfm.freetls.fastly.net/i/u/300x300/0a34ad39286b55420850e20ce032865d.jpg,14
A.A. Williams,Forever Blue,https://lastfm.freetls.fastly.net/i/u/300x300/272fef026821880b7b9e0a7b61f147fd.jpg,10
A.A. Williams,SONGS FROM ISOLATION,https://lastfm.freetls.fastly.net/i/u/300x300/a1a7fbeb1efa78f7bd880a505b17b87e.jpg,25
A.A. Williams,SPLINTER,https://lastfm.freetls.fastly.net/i/u/300x300/e206257df3a539acb8070056ca01c4a3.png,2
AC/DC,Back in Black,https://lastfm.freetls.fastly.net/i/u/300x300/3d359b955132742bc2fc3eacdff90b8c.jpg,1
AJ Fullerton,Closer,https://lastfm.freetls.fastly.net/i/u/300x300/31b8ea1362bdce64a69bb329c89b1f02.jpg,1
ALEXSUCKS,If I Could,https://lastfm.freetls.fastly.net/i/u/300x300/f56c0477f16c250e9c077ef16ad33787.jpg,1
ALEXSUCKS,The Gutter,https://lastfm.freetls.fastly.net/i/u/300x300/15ebe9b4e0f9704806048ea7e3e73c44.jpg,3
ALEXSUCKS,What're We Doing Here,https://lastfm.freetls.fastly.net/i/u/300x300/511cc451ee36f78037c49dd732dc46bb.jpg,2
ALEXSUCKS,Whatever I Want,https://lastfm.freetls.fastly.net/i/u/300x300/20b950eb9454f58ef5fc5a13f220a8bb.jpg,1
AMSpace,Rainy Lights,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,2
Aaron Frazer,Introducing...,https://lastfm.freetls.fastly.net/i/u/300x300/fa045b79d592d19edd3a9a131f04a9d2.jpg,1
Ab-Soul,Soul Burger,https://lastfm.freetls.fastly.net/i/u/300x300/8000e589d6e1e04895e6bdeee9e52736.jpg,25
Abby Jeanne,Sage and Cigarettes - Single,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Abby Sage,Hunger,https://lastfm.freetls.fastly.net/i/u/300x300/ce37fe9e6043ee1c46a8fa701b73cbae.jpg,1
Abby Sage,The Florist,https://lastfm.freetls.fastly.net/i/u/300x300/2605524daf0317a6509c45608fa754a4.jpg,1
Abby Sage,The Rot,https://lastfm.freetls.fastly.net/i/u/300x300/50577555f085714f5a693dae0b91035b.jpg,18
Abra,ROSE,https://lastfm.freetls.fastly.net/i/u/300x300/f9715295b18e5d203cf26d97bcf831f6.jpg,2
Abraham Alexander,SEA/SONS,https://lastfm.freetls.fastly.net/i/u/300x300/a2d33bdc809dbd0ba03bf43443e23eb9.jpg,22
Abraham Alexander,Tears Run Dry,https://lastfm.freetls.fastly.net/i/u/300x300/3ecf250f452b57ca8b2d35d2375a6b57.jpg,1
Aby Coulibaly,Big Pharma (Withdrawal),https://lastfm.freetls.fastly.net/i/u/300x300/6a2118a47afd10f6401c4da1bb2f3f6c.jpg,1
Action Bronson,Well Done,https://lastfm.freetls.fastly.net/i/u/300x300/0b2a46f78845955ce883ecc531482ec1.jpg,1
Action Bronson,Well Done,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,2
Ada Lea,notes,https://lastfm.freetls.fastly.net/i/u/300x300/d551001fa0ed2c6e01f075d10c0fa92d.jpg,23
Ada Lea,one hand on the steering wheel the other sewing a garden,https://lastfm.freetls.fastly.net/i/u/300x300/fe2a8d97a668324bb259619ea0399818.jpg,3
Ada Lea,"woman, here",https://lastfm.freetls.fastly.net/i/u/300x300/3a1450b795e3640babc15c8550325847.jpg,1
Adam Holmes,Songs For My Father,https://lastfm.freetls.fastly.net/i/u/300x300/8230c7ef2461867a66efdb044cd1faf9.jpg,1
Adam Melchor,BIGTIMEGOODTIME,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Adam Melchor,Light Year (feat. Lennon Stella),https://lastfm.freetls.fastly.net/i/u/300x300/7e660f9011faef52ed19e00767312d80.jpg,1
Adam Melchor,Real Estate,https://lastfm.freetls.fastly.net/i/u/300x300/d7d0d8c47b590c2995c4ee2c9503e6c7.jpg,1
Adam Melchor,true love will find you in the end (Adam's Version),https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Adam Remnant,BIG DOORS,https://lastfm.freetls.fastly.net/i/u/300x300/514b4683366e81cd128d774a55b3d5dc.png,1
Addison Rae,Diet Pepsi,https://lastfm.freetls.fastly.net/i/u/300x300/b137d357e83f1634ae97beeb7390f6e7.png,1
Adeem the Artist,Anniversary,https://lastfm.freetls.fastly.net/i/u/300x300/9603dba019af9ed5da76b91a5c291c93.png,1
Adele,21,https://lastfm.freetls.fastly.net/i/u/300x300/75075bd01c96465e54fc250b22f83296.jpg,1
Adeline Hotel,Whodunnit,https://lastfm.freetls.fastly.net/i/u/300x300/52a2bb52b2fdc513fca5226e24966362.jpg,2
Aden Foyer,The Ballet Girl,https://lastfm.freetls.fastly.net/i/u/300x300/79c651ef036a9668eccc6c5c0283f70f.jpg,2
Adi Oasis,Lotus Glow,https://lastfm.freetls.fastly.net/i/u/300x300/c52a33bcc7d7816e9699113c1719709c.jpg,1
Adrianne Lenker,A-Sides,https://lastfm.freetls.fastly.net/i/u/300x300/63ccc891c6e29ef59628f530019341a7.jpg,9
Adrianne Lenker,Bright Future,https://lastfm.freetls.fastly.net/i/u/300x300/80416ed9549211926a15d88cac7498a2.jpg,18
Adrianne Lenker,Fool,https://lastfm.freetls.fastly.net/i/u/300x300/6d5c24d39b929fea6ddbffb255e2b379.jpg,3
Adrianne Lenker,Free Treasure,https://lastfm.freetls.fastly.net/i/u/300x300/af4cd34071e9b9cb9721044ff8bb3623.jpg,1
Adrianne Lenker,Hours Were The Birds,https://lastfm.freetls.fastly.net/i/u/300x300/39ae52ec091b92def364d373946195ad.jpg,11
Adrianne Lenker,Once A Bunch,https://lastfm.freetls.fastly.net/i/u/300x300/72516f48f47f2ee51f858f3c9a8c3c05.jpg,1
Adrianne Lenker,b-sides,https://lastfm.freetls.fastly.net/i/u/300x300/fc59bae691754012c011ca58e5a9ba21.jpg,1
Adrianne Lenker,sadness as a gift,https://lastfm.freetls.fastly.net/i/u/300x300/e56c8fe249dcc6663d48c9dc8ac953e5.jpg,1
Adrianne Lenker,songs,https://lastfm.freetls.fastly.net/i/u/300x300/746436fb5abd430a4e684eaeee4f1aff.jpg,1
Adriano Celentano,Per Sempre,https://lastfm.freetls.fastly.net/i/u/300x300/a0f007d625c0485f81c18268de17ba21.jpg,2
Adwaith,Bato Mato,https://lastfm.freetls.fastly.net/i/u/300x300/7125a7055bf74f97fc319d3a09385038.jpg,2
Afroham,Chillhop Essentials Winter 2023,https://lastfm.freetls.fastly.net/i/u/300x300/e54684713300fab6eb6423f4fdab9731.png,2
After,In Five Years,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
After Life,In Waves,https://lastfm.freetls.fastly.net/i/u/300x300/d932fa506f6636494dd0cd7e31a41dc4.png,3
Ages and Ages,Alright You Restless,https://lastfm.freetls.fastly.net/i/u/300x300/800256d19143c890c9c96a58cc72bfa4.jpg,1
Ages and Ages,Divisionary,https://lastfm.freetls.fastly.net/i/u/300x300/8c827d7e2b10441dc46523604313a9c0.jpg,5
Ages and Ages,Me You They We,https://lastfm.freetls.fastly.net/i/u/300x300/3d992e0e2ca8edda49e91bc8eb3e3590.jpg,9
Ahead To The Sea,Treffer Versenkt!,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Aimee Carty,2 days into college,https://lastfm.freetls.fastly.net/i/u/300x300/353711746f2bed148c877a89b42db0b3.jpg,1
Airpark,Quiet Type: An Intimate Collection of New & Old,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,2
Akintoye,Pizzazz,https://lastfm.freetls.fastly.net/i/u/300x300/644608bbe79ba973946bcb7aa18c1355.jpg,5
Al Menne,Freak Accident,https://lastfm.freetls.fastly.net/i/u/300x300/09ef042a4dec80d1aadfdba71967fd70.jpg,2
Alabama Shakes,Sound & Color,https://lastfm.freetls.fastly.net/i/u/300x300/f8eb189af20dd743d96d46e128918a44.png,1
Alan Licht,Havens,https://lastfm.freetls.fastly.net/i/u/300x300/6692ac2bd4a804ce0ca8029e3d574e85.jpg,1
Aldous Harding,Warm Chris,https://lastfm.freetls.fastly.net/i/u/300x300/db74abdbd69bd016f7d4af28dcc670ed.png,2
Alec Benjamin,Six Feet Apart,https://lastfm.freetls.fastly.net/i/u/300x300/4087e5f2d9baf11620e3b956da9f3ced.jpg,3
Alenni,album (demos),https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,15
Alex G,Runner,https://lastfm.freetls.fastly.net/i/u/300x300/845c87aa23a4be8202d1e1fd14aaf34e.png,1
Alex G,TRICK,https://lastfm.freetls.fastly.net/i/u/300x300/0b8520054cfd8af493b44a8bed0a2361.jpg,1
Alex Izenberg,Alex Izenberg & The Exiles,https://lastfm.freetls.fastly.net/i/u/300x300/89c9e1bc2fd7e4d7c29efd7d6c6ee91e.jpg,1
Alex Lahey,The Answer Is Always Yes,https://lastfm.freetls.fastly.net/i/u/300x300/e9260d64291dbf75ae8787c5f9a3ad3a.jpg,2
Alex Lambert,Say The Word,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Alex Schaaf,Waves,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,8
Alex Sipiagin,Horizons,https://lastfm.freetls.fastly.net/i/u/300x300/e25dda011263814e8615068ef6924d57.jpg,3
Alex the Astronaut,Cold Pizza,https://lastfm.freetls.fastly.net/i/u/300x300/2e4ef4f76ab6540e09cd0b4382b6c33b.jpg,1
Alexandra Babiak,Magical Thinking,https://lastfm.freetls.fastly.net/i/u/300x300/a43b790577b96e24c2442f4683bc5f0f.jpg,2
Alfie Templeman,Mellow Moon,https://lastfm.freetls.fastly.net/i/u/300x300/b59e4ae7f08d571ef7b3bbbcf313f3bf.jpg,1
Alice Phoebe Lou,Shelter,https://lastfm.freetls.fastly.net/i/u/300x300/76620ec4c4bb8fb8ae4af2df725a83d8.jpg,2
Alicia Keys,No One - EP,https://lastfm.freetls.fastly.net/i/u/300x300/6a4949d7fb354c4d8e7d8d939a48e527.jpg,1
Alicia Keys,Songs In A Minor (20th Anniversary Edition),https://lastfm.freetls.fastly.net/i/u/300x300/bac5f3c0a97330932c33e4cf8fbc67cd.jpg,1
Alison Moyet,Key,https://lastfm.freetls.fastly.net/i/u/300x300/b996001fac8adba289906ebe2fe47821.jpg,1
Alkaline Trio,"Blood, Hair, and Eyeballs",https://lastfm.freetls.fastly.net/i/u/300x300/ac9c83468413c491f2fed9f71e71bbb1.jpg,4
Allegra Krieger,Art of the Unseen Infinity Machine,https://lastfm.freetls.fastly.net/i/u/300x300/06cd6918d958f8a672d34bcb76af4d2c.jpg,13
Allegra Krieger,I Keep My Feet on the Fragile Plane,https://lastfm.freetls.fastly.net/i/u/300x300/4875127148f9fd4557293988cbd740ef.jpg,4
Allegra Krieger,Precious Thing,https://lastfm.freetls.fastly.net/i/u/300x300/c83608bf273b9a616a12b803604fbf97.jpg,1
Allen Tate,Sleepwalker,https://lastfm.freetls.fastly.net/i/u/300x300/a398eb900b97d9371e7b095a8f03eb00.jpg,4
Allie X,Girl with No Face,https://lastfm.freetls.fastly.net/i/u/300x300/27754440f8cd8c5b3c33cabdbd671188.png,21
Alter Real,You and I and me and you,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Alvvays,Alvvays,https://lastfm.freetls.fastly.net/i/u/300x300/63ea8d50b43146e7c64414891c20d378.png,14
Alvvays,Antisocialites,https://lastfm.freetls.fastly.net/i/u/300x300/0d3f08283a1d329c0a5f3af191d93015.jpg,23
Alvvays,Blue Rev,https://lastfm.freetls.fastly.net/i/u/300x300/e41b308ca8a94f72e26a79320a3bf313.jpg,18
Amanda Seyfried,Mamma Mia! The Movie Soundtrack,https://lastfm.freetls.fastly.net/i/u/300x300/a5e792789435ff7f362ae5f08c94972a.jpg,1
Amanda Seyfried,Mamma Mia! The Movie Soundtrack,https://lastfm.freetls.fastly.net/i/u/300x300/cc496e9b44a24ced8035170f42005b84.jpg,1
Ambar Lucid,GIRL UR SO PRETTY,https://lastfm.freetls.fastly.net/i/u/300x300/40710fdeaccea478c84128107f7be412.jpg,1
Amber Navran,Away From The Noise,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Amelia Day,Woe Is Me,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
Amelia Maxwell,Julie,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,1
